,0
X10_5_Azacytidine_0_05_uM_,"10_[('5-Azacytidine', 0.05, 'uM')]"
X10_5_Fluorouracil_0_05_uM_,"10_[('5-Fluorouracil', 0.05, 'uM')]"
X10_Abiraterone_acetate_0_05_uM_,"10_[('Abiraterone acetate', 0.05, 'uM')]"
X10_Acetazolamide_0_05_uM_,"10_[('Acetazolamide', 0.05, 'uM')]"
X10_Adagrasib_0_05_uM_,"10_[('Adagrasib', 0.05, 'uM')]"
X10_Allopurinol_0_05_uM_,"10_[('Allopurinol', 0.05, 'uM')]"
X10_Aprepitant_0_05_uM_,"10_[('Aprepitant', 0.05, 'uM')]"
X10_Artemether_0_05_uM_,"10_[('Artemether', 0.05, 'uM')]"
X10_Asciminib_0_05_uM_,"10_[('Asciminib', 0.05, 'uM')]"
X10_Aspirin_0_05_uM_,"10_[('Aspirin', 0.05, 'uM')]"
X10_Ataluren_0_05_uM_,"10_[('Ataluren', 0.05, 'uM')]"
X10_Atazanavir_sulfate_0_05_uM_,"10_[('Atazanavir (sulfate)', 0.05, 'uM')]"
X10_Auranofin_0_05_uM_,"10_[('Auranofin', 0.05, 'uM')]"
X10_Belinostat_0_05_uM_,"10_[('Belinostat', 0.05, 'uM')]"
X10_Benztropine_mesylate_0_05_uM_,"10_[('Benztropine (mesylate)', 0.05, 'uM')]"
X10_Bestatin_hydrochloride_0_05_uM_,"10_[('Bestatin (hydrochloride)', 0.05, 'uM')]"
X10_Bexarotene_0_05_uM_,"10_[('Bexarotene', 0.05, 'uM')]"
X10_Bicalutamide_0_05_uM_,"10_[('Bicalutamide', 0.05, 'uM')]"
X10_Binimetinib_0_05_uM_,"10_[('Binimetinib', 0.05, 'uM')]"
X10_Brimonidine_0_05_uM_,"10_[('Brimonidine', 0.05, 'uM')]"
X10_Budesonide_0_05_uM_,"10_[('Budesonide', 0.05, 'uM')]"
X10_Cabozantinib_S_malate_0_05_uM_,"10_[('Cabozantinib (S-malate)', 0.05, 'uM')]"
X10_Canagliflozin_hemihydrate_0_05_uM_,"10_[('Canagliflozin (hemihydrate)', 0.05, 'uM')]"
X10_Captopril_0_05_uM_,"10_[('Captopril', 0.05, 'uM')]"
X10_Carbamazepine_0_05_uM_,"10_[('Carbamazepine', 0.05, 'uM')]"
X10_Cinacalcet_0_05_uM_,"10_[('Cinacalcet', 0.05, 'uM')]"
X10_Citalopram_hydrobromide_0_05_uM_,"10_[('Citalopram (hydrobromide)', 0.05, 'uM')]"
X10_Clobetasol_propionate_0_05_uM_,"10_[('Clobetasol propionate', 0.05, 'uM')]"
X10_Clopidogrel_0_05_uM_,"10_[('Clopidogrel', 0.05, 'uM')]"
X10_Crizotinib_hydrochloride_0_05_uM_,"10_[('Crizotinib (hydrochloride)', 0.05, 'uM')]"
X10_Cyclosporin_A_0_05_uM_,"10_[('Cyclosporin A', 0.05, 'uM')]"
X10_Dapagliflozin_0_05_uM_,"10_[('Dapagliflozin', 0.05, 'uM')]"
X10_Darolutamide_0_05_uM_,"10_[('Darolutamide', 0.05, 'uM')]"
X10_Delamanid_0_05_uM_,"10_[('Delamanid', 0.05, 'uM')]"
X10_Dexamethasone_0_05_uM_,"10_[('Dexamethasone', 0.05, 'uM')]"
X10_Digitoxin_0_05_uM_,"10_[('Digitoxin', 0.05, 'uM')]"
X10_Dihydroartemisinin_0_05_uM_,"10_[('Dihydroartemisinin', 0.05, 'uM')]"
X10_Drospirenone_0_05_uM_,"10_[('Drospirenone', 0.05, 'uM')]"
X10_Econazole_0_05_uM_,"10_[('Econazole', 0.05, 'uM')]"
X10_Entrectinib_0_05_uM_,"10_[('Entrectinib', 0.05, 'uM')]"
X10_Erythromycin_0_05_uM_,"10_[('Erythromycin', 0.05, 'uM')]"
X10_Esmolol_hydrochloride_0_05_uM_,"10_[('Esmolol (hydrochloride)', 0.05, 'uM')]"
X10_Estrone_sulfate_potassium_0_05_uM_,"10_[('Estrone sulfate (potassium)', 0.05, 'uM')]"
X10_Fedratinib_hydrochloride_hydrate_0_05_uM_,"10_[('Fedratinib (hydrochloride hydrate)', 0.05, 'uM')]"
X10_Filgotinib_0_05_uM_,"10_[('Filgotinib', 0.05, 'uM')]"
X10_Fingolimod_hydrochloride_0_05_uM_,"10_[('Fingolimod (hydrochloride)', 0.05, 'uM')]"
X10_Flutamide_0_05_uM_,"10_[('Flutamide', 0.05, 'uM')]"
X10_Fulvestrant_0_05_uM_,"10_[('Fulvestrant', 0.05, 'uM')]"
X10_Gefitinib_0_05_uM_,"10_[('Gefitinib', 0.05, 'uM')]"
X10_Idoxuridine_0_05_uM_,"10_[('Idoxuridine', 0.05, 'uM')]"
X10_Imiquimod_hydrochloride_0_05_uM_,"10_[('Imiquimod (hydrochloride)', 0.05, 'uM')]"
